preamble,stimulus,item,category,feature
Grape,is a plant.,grape,fruit,1
Nectarine,is a plant.,nectarine,fruit,1
Strawberry,is a plant.,strawberry,fruit,1
Grapefruit,is a plant.,grapefruit,fruit,1
Berry,is a plant.,berry,fruit,1
Cherry,is a plant.,cherry,fruit,1
Pineapple,is a plant.,pineapple,fruit,1
Blackberry,is a plant.,blackberry,fruit,1
Melon,is a plant.,melon,fruit,1
Blueberry,is a plant.,blueberry,fruit,1
Raspberry,is a plant.,raspberry,fruit,1
Lemon,is a plant.,lemon,fruit,1
Black raspberry,is a plant.,black raspberry,fruit,1
Boysenberry,is a plant.,boysenberry,fruit,1
Watermelon,is a plant.,watermelon,fruit,1
Cantaloupe,is a plant.,cantaloupe,fruit,1
Lime,is a plant.,lime,fruit,1
Tangelo,is a plant.,tangelo,fruit,1
Papaya,is a plant.,papaya,fruit,1
Honeydew,is a plant.,honeydew,fruit,1
Fig,is a plant.,fig,fruit,1
Mango,is a plant.,mango,fruit,1
Guava,is a plant.,guava,fruit,1
Pomegranate,is a plant.,pomegranate,fruit,1
Cranberry,is a plant.,cranberry,fruit,1
Passion fruit,is a plant.,passion fruit,fruit,1
Prune,is a plant.,prune,fruit,1
Gooseberry,is a plant.,gooseberry,fruit,1
Date,is a plant.,date,fruit,1
Kumquat,is a plant.,kumquat,fruit,1
Raisin,is a plant.,raisin,fruit,1
Muskmelon,is a plant.,muskmelon,fruit,1
Persimmon,is a plant.,persimmon,fruit,1
Pawpaw,is a plant.,pawpaw,fruit,1
Coconut,is a plant.,coconut,fruit,1
Avocado,is a plant.,avocado,fruit,1
Pumpkin,is a plant.,pumpkin,fruit,1
Tomato,is a plant.,tomato,fruit,1
Nut,is a plant.,nut,fruit,1
Gourd,is a plant.,gourd,fruit,1
Olive,is a plant.,olive,fruit,1
Pickle,is a plant.,pickle,fruit,1
Squash,is a plant.,squash,fruit,1
Orange,is organic.,orange,fruit,2
Apple,is organic.,apple,fruit,2
Banana,is organic.,banana,fruit,2
Peach,is organic.,peach,fruit,2
Pear,is organic.,pear,fruit,2
Apricot,is organic.,apricot,fruit,2
Tangerine,is organic.,tangerine,fruit,2
Plum,is organic.,plum,fruit,2
Grape,is organic.,grape,fruit,2
Nectarine,is organic.,nectarine,fruit,2
Strawberry,is organic.,strawberry,fruit,2
Grapefruit,is organic.,grapefruit,fruit,2
Berry,is organic.,berry,fruit,2
Cherry,is organic.,cherry,fruit,2
Pineapple,is organic.,pineapple,fruit,2
Blackberry,is organic.,blackberry,fruit,2
Melon,is organic.,melon,fruit,2
Blueberry,is organic.,blueberry,fruit,2
Raspberry,is organic.,raspberry,fruit,2
Lemon,is organic.,lemon,fruit,2
Black raspberry,is organic.,black raspberry,fruit,2
Boysenberry,is organic.,boysenberry,fruit,2
Watermelon,is organic.,watermelon,fruit,2
Cantaloupe,is organic.,cantaloupe,fruit,2
Lime,is organic.,lime,fruit,2
Tangelo,is organic.,tangelo,fruit,2
Papaya,is organic.,papaya,fruit,2
Honeydew,is organic.,honeydew,fruit,2
Fig,is organic.,fig,fruit,2
Mango,is organic.,mango,fruit,2
Guava,is organic.,guava,fruit,2
Pomegranate,is organic.,pomegranate,fruit,2
Cranberry,is organic.,cranberry,fruit,2
Passion fruit,is organic.,passion fruit,fruit,2
Prune,is organic.,prune,fruit,2
Gooseberry,is organic.,gooseberry,fruit,2
Date,is organic.,date,fruit,2
Kumquat,is organic.,kumquat,fruit,2
Raisin,is organic.,raisin,fruit,2
Muskmelon,is organic.,muskmelon,fruit,2
Persimmon,is organic.,persimmon,fruit,2
Pawpaw,is organic.,pawpaw,fruit,2
Coconut,is organic.,coconut,fruit,2
Avocado,is organic.,avocado,fruit,2
Pumpkin,is organic.,pumpkin,fruit,2
Tomato,is organic.,tomato,fruit,2
Nut,is organic.,nut,fruit,2
Gourd,is organic.,gourd,fruit,2
Olive,is organic.,olive,fruit,2
Pickle,is organic.,pickle,fruit,2
Squash,is organic.,squash,fruit,2
Orange,is vegetation.,orange,fruit,3
Apple,is vegetation.,apple,fruit,3
Banana,is vegetation.,banana,fruit,3
Peach,is vegetation.,peach,fruit,3
Pear,is vegetation.,pear,fruit,3
Apricot,is vegetation.,apricot,fruit,3
Tangerine,is vegetation.,tangerine,fruit,3
Plum,is vegetation.,plum,fruit,3
Grape,is vegetation.,grape,fruit,3
Nectarine,is vegetation.,nectarine,fruit,3
Strawberry,is vegetation.,strawberry,fruit,3
Grapefruit,is vegetation.,grapefruit,fruit,3
Berry,is vegetation.,berry,fruit,3
Cherry,is vegetation.,cherry,fruit,3
Pineapple,is vegetation.,pineapple,fruit,3
Blackberry,is vegetation.,blackberry,fruit,3
Melon,is vegetation.,melon,fruit,3
Blueberry,is vegetation.,blueberry,fruit,3
Raspberry,is vegetation.,raspberry,fruit,3
Lemon,is vegetation.,lemon,fruit,3
Black raspberry,is vegetation.,black raspberry,fruit,3
Boysenberry,is vegetation.,boysenberry,fruit,3
Watermelon,is vegetation.,watermelon,fruit,3
Cantaloupe,is vegetation.,cantaloupe,fruit,3
Lime,is vegetation.,lime,fruit,3
Tangelo,is vegetation.,tangelo,fruit,3
Papaya,is vegetation.,papaya,fruit,3
Honeydew,is vegetation.,honeydew,fruit,3
Fig,is vegetation.,fig,fruit,3
Mango,is vegetation.,mango,fruit,3
Guava,is vegetation.,guava,fruit,3
Pomegranate,is vegetation.,pomegranate,fruit,3
Cranberry,is vegetation.,cranberry,fruit,3
Passion fruit,is vegetation.,passion fruit,fruit,3
Prune,is vegetation.,prune,fruit,3
Gooseberry,is vegetation.,gooseberry,fruit,3
Date,is vegetation.,date,fruit,3
Kumquat,is vegetation.,kumquat,fruit,3
Raisin,is vegetation.,raisin,fruit,3
Muskmelon,is vegetation.,muskmelon,fruit,3
Persimmon,is vegetation.,persimmon,fruit,3
Pawpaw,is vegetation.,pawpaw,fruit,3
Coconut,is vegetation.,coconut,fruit,3
Avocado,is vegetation.,avocado,fruit,3
Pumpkin,is vegetation.,pumpkin,fruit,3
Tomato,is vegetation.,tomato,fruit,3
Nut,is vegetation.,nut,fruit,3
Gourd,is vegetation.,gourd,fruit,3
Olive,is vegetation.,olive,fruit,3
Pickle,is vegetation.,pickle,fruit,3
Squash,is vegetation.,squash,fruit,3
Orange,is edible.,orange,fruit,4
Apple,is edible.,apple,fruit,4
Banana,is edible.,banana,fruit,4
Peach,is edible.,peach,fruit,4
Pear,is edible.,pear,fruit,4
Apricot,is edible.,apricot,fruit,4
Tangerine,is edible.,tangerine,fruit,4
Plum,is edible.,plum,fruit,4
Grape,is edible.,grape,fruit,4
Nectarine,is edible.,nectarine,fruit,4
Strawberry,is edible.,strawberry,fruit,4
Grapefruit,is edible.,grapefruit,fruit,4
Berry,is edible.,berry,fruit,4
Cherry,is edible.,cherry,fruit,4
Pineapple,is edible.,pineapple,fruit,4
Blackberry,is edible.,blackberry,fruit,4
Melon,is edible.,melon,fruit,4
Blueberry,is edible.,blueberry,fruit,4
Raspberry,is edible.,raspberry,fruit,4
Lemon,is edible.,lemon,fruit,4
Black raspberry,is edible.,black raspberry,fruit,4
Boysenberry,is edible.,boysenberry,fruit,4
Watermelon,is edible.,watermelon,fruit,4
Cantaloupe,is edible.,cantaloupe,fruit,4
Lime,is edible.,lime,fruit,4
Tangelo,is edible.,tangelo,fruit,4
Papaya,is edible.,papaya,fruit,4
Honeydew,is edible.,honeydew,fruit,4
Fig,is edible.,fig,fruit,4
Mango,is edible.,mango,fruit,4
Guava,is edible.,guava,fruit,4
Pomegranate,is edible.,pomegranate,fruit,4
Cranberry,is edible.,cranberry,fruit,4
Passion fruit,is edible.,passion fruit,fruit,4
Prune,is edible.,prune,fruit,4
Gooseberry,is edible.,gooseberry,fruit,4
Date,is edible.,date,fruit,4
Kumquat,is edible.,kumquat,fruit,4
Raisin,is edible.,raisin,fruit,4
Muskmelon,is edible.,muskmelon,fruit,4
Persimmon,is edible.,persimmon,fruit,4
Pawpaw,is edible.,pawpaw,fruit,4
Coconut,is edible.,coconut,fruit,4
Avocado,is edible.,avocado,fruit,4
Pumpkin,is edible.,pumpkin,fruit,4
Tomato,is edible.,tomato,fruit,4
Nut,is edible.,nut,fruit,4
Gourd,is edible.,gourd,fruit,4
Olive,is edible.,olive,fruit,4
Pickle,is edible.,pickle,fruit,4
Squash,is edible.,squash,fruit,4
Orange,is eaten.,orange,fruit,5
Apple,is eaten.,apple,fruit,5
Banana,is eaten.,banana,fruit,5
Peach,is eaten.,peach,fruit,5
Pear,is eaten.,pear,fruit,5
Apricot,is eaten.,apricot,fruit,5
Tangerine,is eaten.,tangerine,fruit,5
Plum,is eaten.,plum,fruit,5
Grape,is eaten.,grape,fruit,5
Nectarine,is eaten.,nectarine,fruit,5
Strawberry,is eaten.,strawberry,fruit,5
Grapefruit,is eaten.,grapefruit,fruit,5
Berry,is eaten.,berry,fruit,5
Cherry,is eaten.,cherry,fruit,5
Pineapple,is eaten.,pineapple,fruit,5
Blackberry,is eaten.,blackberry,fruit,5
Melon,is eaten.,melon,fruit,5
Blueberry,is eaten.,blueberry,fruit,5
Raspberry,is eaten.,raspberry,fruit,5
Lemon,is eaten.,lemon,fruit,5
Black raspberry,is eaten.,black raspberry,fruit,5
Boysenberry,is eaten.,boysenberry,fruit,5
Watermelon,is eaten.,watermelon,fruit,5
Cantaloupe,is eaten.,cantaloupe,fruit,5
Lime,is eaten.,lime,fruit,5
Tangelo,is eaten.,tangelo,fruit,5
Papaya,is eaten.,papaya,fruit,5
Honeydew,is eaten.,honeydew,fruit,5
Fig,is eaten.,fig,fruit,5
Mango,is eaten.,mango,fruit,5
Guava,is eaten.,guava,fruit,5
Pomegranate,is eaten.,pomegranate,fruit,5
Cranberry,is eaten.,cranberry,fruit,5
Passion fruit,is eaten.,passion fruit,fruit,5
Prune,is eaten.,prune,fruit,5
Gooseberry,is eaten.,gooseberry,fruit,5
Date,is eaten.,date,fruit,5
Kumquat,is eaten.,kumquat,fruit,5
Raisin,is eaten.,raisin,fruit,5
Muskmelon,is eaten.,muskmelon,fruit,5
Persimmon,is eaten.,persimmon,fruit,5
Pawpaw,is eaten.,pawpaw,fruit,5
Coconut,is eaten.,coconut,fruit,5
Avocado,is eaten.,avocado,fruit,5
Pumpkin,is eaten.,pumpkin,fruit,5
Tomato,is eaten.,tomato,fruit,5
Nut,is eaten.,nut,fruit,5
Gourd,is eaten.,gourd,fruit,5
Olive,is eaten.,olive,fruit,5
Pickle,is eaten.,pickle,fruit,5
Squash,is eaten.,squash,fruit,5
Orange,contains seeds.,orange,fruit,6
Apple,contains seeds.,apple,fruit,6
Banana,contains seeds.,banana,fruit,6
Peach,contains seeds.,peach,fruit,6
Pear,contains seeds.,pear,fruit,6
Apricot,contains seeds.,apricot,fruit,6
Tangerine,contains seeds.,tangerine,fruit,6
Plum,contains seeds.,plum,fruit,6
Grape,contains seeds.,grape,fruit,6
Nectarine,contains seeds.,nectarine,fruit,6
Strawberry,contains seeds.,strawberry,fruit,6
Grapefruit,contains seeds.,grapefruit,fruit,6
Berry,contains seeds.,berry,fruit,6
Cherry,contains seeds.,cherry,fruit,6
Pineapple,contains seeds.,pineapple,fruit,6
Blackberry,contains seeds.,blackberry,fruit,6
Melon,contains seeds.,melon,fruit,6
Blueberry,contains seeds.,blueberry,fruit,6
Raspberry,contains seeds.,raspberry,fruit,6
Lemon,contains seeds.,lemon,fruit,6
Black raspberry,contains seeds.,black raspberry,fruit,6
Boysenberry,contains seeds.,boysenberry,fruit,6
Watermelon,contains seeds.,watermelon,fruit,6
Cantaloupe,contains seeds.,cantaloupe,fruit,6
Lime,contains seeds.,lime,fruit,6
Tangelo,contains seeds.,tangelo,fruit,6
Papaya,contains seeds.,papaya,fruit,6
Honeydew,contains seeds.,honeydew,fruit,6
Fig,contains seeds.,fig,fruit,6
Mango,contains seeds.,mango,fruit,6
Guava,contains seeds.,guava,fruit,6
Pomegranate,contains seeds.,pomegranate,fruit,6
Cranberry,contains seeds.,cranberry,fruit,6
Passion fruit,contains seeds.,passion fruit,fruit,6
Prune,contains seeds.,prune,fruit,6
Gooseberry,contains seeds.,gooseberry,fruit,6
Date,contains seeds.,date,fruit,6
Kumquat,contains seeds.,kumquat,fruit,6
Raisin,contains seeds.,raisin,fruit,6
Muskmelon,contains seeds.,muskmelon,fruit,6
Persimmon,contains seeds.,persimmon,fruit,6
Pawpaw,contains seeds.,pawpaw,fruit,6
Coconut,contains seeds.,coconut,fruit,6
Avocado,contains seeds.,avocado,fruit,6
Pumpkin,contains seeds.,pumpkin,fruit,6
Tomato,contains seeds.,tomato,fruit,6
Nut,contains seeds.,nut,fruit,6
Gourd,contains seeds.,gourd,fruit,6
Olive,contains seeds.,olive,fruit,6
Pickle,contains seeds.,pickle,fruit,6
Squash,contains seeds.,squash,fruit,6
Orange,"grows above ground, on bushes or trees.",orange,fruit,7
Apple,"grows above ground, on bushes or trees.",apple,fruit,7
Banana,"grows above ground, on bushes or trees.",banana,fruit,7
Peach,"grows above ground, on bushes or trees.",peach,fruit,7
Pear,"grows above ground, on bushes or trees.",pear,fruit,7
Apricot,"grows above ground, on bushes or trees.",apricot,fruit,7
Tangerine,"grows above ground, on bushes or trees.",tangerine,fruit,7
Plum,"grows above ground, on bushes or trees.",plum,fruit,7
Grape,"grows above ground, on bushes or trees.",grape,fruit,7
Nectarine,"grows above ground, on bushes or trees.",nectarine,fruit,7
Strawberry,"grows above ground, on bushes or trees.",strawberry,fruit,7
Grapefruit,"grows above ground, on bushes or trees.",grapefruit,fruit,7
Berry,"grows above ground, on bushes or trees.",berry,fruit,7
Cherry,"grows above ground, on bushes or trees.",cherry,fruit,7
Pineapple,"grows above ground, on bushes or trees.",pineapple,fruit,7
Blackberry,"grows above ground, on bushes or trees.",blackberry,fruit,7
Melon,"grows above ground, on bushes or trees.",melon,fruit,7
Blueberry,"grows above ground, on bushes or trees.",blueberry,fruit,7
Raspberry,"grows above ground, on bushes or trees.",raspberry,fruit,7
Lemon,"grows above ground, on bushes or trees.",lemon,fruit,7
Black raspberry,"grows above ground, on bushes or trees.",black raspberry,fruit,7
Boysenberry,"grows above ground, on bushes or trees.",boysenberry,fruit,7
Watermelon,"grows above ground, on bushes or trees.",watermelon,fruit,7
Cantaloupe,"grows above ground, on bushes or trees.",cantaloupe,fruit,7
Lime,"grows above ground, on bushes or trees.",lime,fruit,7
Tangelo,"grows above ground, on bushes or trees.",tangelo,fruit,7
Papaya,"grows above ground, on bushes or trees.",papaya,fruit,7
Honeydew,"grows above ground, on bushes or trees.",honeydew,fruit,7
Fig,"grows above ground, on bushes or trees.",fig,fruit,7
Mango,"grows above ground, on bushes or trees.",mango,fruit,7
Guava,"grows above ground, on bushes or trees.",guava,fruit,7
Pomegranate,"grows above ground, on bushes or trees.",pomegranate,fruit,7
Cranberry,"grows above ground, on bushes or trees.",cranberry,fruit,7
Passion fruit,"grows above ground, on bushes or trees.",passion fruit,fruit,7
Prune,"grows above ground, on bushes or trees.",prune,fruit,7
Gooseberry,"grows above ground, on bushes or trees.",gooseberry,fruit,7
Date,"grows above ground, on bushes or trees.",date,fruit,7
Kumquat,"grows above ground, on bushes or trees.",kumquat,fruit,7
Raisin,"grows above ground, on bushes or trees.",raisin,fruit,7
Muskmelon,"grows above ground, on bushes or trees.",muskmelon,fruit,7
Persimmon,"grows above ground, on bushes or trees.",persimmon,fruit,7
Pawpaw,"grows above ground, on bushes or trees.",pawpaw,fruit,7
Coconut,"grows above ground, on bushes or trees.",coconut,fruit,7
Avocado,"grows above ground, on bushes or trees.",avocado,fruit,7
Pumpkin,"grows above ground, on bushes or trees.",pumpkin,fruit,7
Tomato,"grows above ground, on bushes or trees.",tomato,fruit,7
Nut,"grows above ground, on bushes or trees.",nut,fruit,7
Gourd,"grows above ground, on bushes or trees.",gourd,fruit,7
Olive,"grows above ground, on bushes or trees.",olive,fruit,7
Pickle,"grows above ground, on bushes or trees.",pickle,fruit,7
Squash,"grows above ground, on bushes or trees.",squash,fruit,7
Orange,is juicy.,orange,fruit,8
Apple,is juicy.,apple,fruit,8
Banana,is juicy.,banana,fruit,8
Peach,is juicy.,peach,fruit,8
Pear,is juicy.,pear,fruit,8
Apricot,is juicy.,apricot,fruit,8
Tangerine,is juicy.,tangerine,fruit,8
Plum,is juicy.,plum,fruit,8
Grape,is juicy.,grape,fruit,8
Nectarine,is juicy.,nectarine,fruit,8
Strawberry,is juicy.,strawberry,fruit,8
Grapefruit,is juicy.,grapefruit,fruit,8
Berry,is juicy.,berry,fruit,8
Cherry,is juicy.,cherry,fruit,8
Pineapple,is juicy.,pineapple,fruit,8
Blackberry,is juicy.,blackberry,fruit,8
Melon,is juicy.,melon,fruit,8
Blueberry,is juicy.,blueberry,fruit,8
Raspberry,is juicy.,raspberry,fruit,8
Lemon,is juicy.,lemon,fruit,8
Black raspberry,is juicy.,black raspberry,fruit,8
Boysenberry,is juicy.,boysenberry,fruit,8
Watermelon,is juicy.,watermelon,fruit,8
Cantaloupe,is juicy.,cantaloupe,fruit,8
Lime,is juicy.,lime,fruit,8
Tangelo,is juicy.,tangelo,fruit,8
Papaya,is juicy.,papaya,fruit,8
Honeydew,is juicy.,honeydew,fruit,8
Fig,is juicy.,fig,fruit,8
Mango,is juicy.,mango,fruit,8
Guava,is juicy.,guava,fruit,8
Pomegranate,is juicy.,pomegranate,fruit,8
Cranberry,is juicy.,cranberry,fruit,8
Passion fruit,is juicy.,passion fruit,fruit,8
Prune,is juicy.,prune,fruit,8
Gooseberry,is juicy.,gooseberry,fruit,8
Date,is juicy.,date,fruit,8
Kumquat,is juicy.,kumquat,fruit,8
Raisin,is juicy.,raisin,fruit,8
Muskmelon,is juicy.,muskmelon,fruit,8
Persimmon,is juicy.,persimmon,fruit,8
Pawpaw,is juicy.,pawpaw,fruit,8
Coconut,is juicy.,coconut,fruit,8
Avocado,is juicy.,avocado,fruit,8
Pumpkin,is juicy.,pumpkin,fruit,8
Tomato,is juicy.,tomato,fruit,8
Nut,is juicy.,nut,fruit,8
Gourd,is juicy.,gourd,fruit,8
Olive,is juicy.,olive,fruit,8
Pickle,is juicy.,pickle,fruit,8
Squash,is juicy.,squash,fruit,8
Orange,is thirst quenching.,orange,fruit,9
Apple,is thirst quenching.,apple,fruit,9
Banana,is thirst quenching.,banana,fruit,9
Peach,is thirst quenching.,peach,fruit,9
Pear,is thirst quenching.,pear,fruit,9
Apricot,is thirst quenching.,apricot,fruit,9
Tangerine,is thirst quenching.,tangerine,fruit,9
Plum,is thirst quenching.,plum,fruit,9
Grape,is thirst quenching.,grape,fruit,9
Nectarine,is thirst quenching.,nectarine,fruit,9
Strawberry,is thirst quenching.,strawberry,fruit,9
Grapefruit,is thirst quenching.,grapefruit,fruit,9
Berry,is thirst quenching.,berry,fruit,9
Cherry,is thirst quenching.,cherry,fruit,9
Pineapple,is thirst quenching.,pineapple,fruit,9
Blackberry,is thirst quenching.,blackberry,fruit,9
Melon,is thirst quenching.,melon,fruit,9
Blueberry,is thirst quenching.,blueberry,fruit,9
Raspberry,is thirst quenching.,raspberry,fruit,9
Lemon,is thirst quenching.,lemon,fruit,9
Black raspberry,is thirst quenching.,black raspberry,fruit,9
Boysenberry,is thirst quenching.,boysenberry,fruit,9
Watermelon,is thirst quenching.,watermelon,fruit,9
Cantaloupe,is thirst quenching.,cantaloupe,fruit,9
Lime,is thirst quenching.,lime,fruit,9
Tangelo,is thirst quenching.,tangelo,fruit,9
Papaya,is thirst quenching.,papaya,fruit,9
Honeydew,is thirst quenching.,honeydew,fruit,9
Fig,is thirst quenching.,fig,fruit,9
Mango,is thirst quenching.,mango,fruit,9
Guava,is thirst quenching.,guava,fruit,9
Pomegranate,is thirst quenching.,pomegranate,fruit,9
Cranberry,is thirst quenching.,cranberry,fruit,9
Passion fruit,is thirst quenching.,passion fruit,fruit,9
Prune,is thirst quenching.,prune,fruit,9
Gooseberry,is thirst quenching.,gooseberry,fruit,9
Date,is thirst quenching.,date,fruit,9
Kumquat,is thirst quenching.,kumquat,fruit,9
Raisin,is thirst quenching.,raisin,fruit,9
Muskmelon,is thirst quenching.,muskmelon,fruit,9
Persimmon,is thirst quenching.,persimmon,fruit,9
Pawpaw,is thirst quenching.,pawpaw,fruit,9
Coconut,is thirst quenching.,coconut,fruit,9
Avocado,is thirst quenching.,avocado,fruit,9
Pumpkin,is thirst quenching.,pumpkin,fruit,9
Tomato,is thirst quenching.,tomato,fruit,9
Nut,is thirst quenching.,nut,fruit,9
Gourd,is thirst quenching.,gourd,fruit,9
Olive,is thirst quenching.,olive,fruit,9
Pickle,is thirst quenching.,pickle,fruit,9
Squash,is thirst quenching.,squash,fruit,9
Orange,is brightly coloured.,orange,fruit,10
Apple,is brightly coloured.,apple,fruit,10
Banana,is brightly coloured.,banana,fruit,10
Peach,is brightly coloured.,peach,fruit,10
Pear,is brightly coloured.,pear,fruit,10
Apricot,is brightly coloured.,apricot,fruit,10
Tangerine,is brightly coloured.,tangerine,fruit,10
Plum,is brightly coloured.,plum,fruit,10
Grape,is brightly coloured.,grape,fruit,10
Nectarine,is brightly coloured.,nectarine,fruit,10
Strawberry,is brightly coloured.,strawberry,fruit,10
Grapefruit,is brightly coloured.,grapefruit,fruit,10
Berry,is brightly coloured.,berry,fruit,10
Cherry,is brightly coloured.,cherry,fruit,10
Pineapple,is brightly coloured.,pineapple,fruit,10
Blackberry,is brightly coloured.,blackberry,fruit,10
Melon,is brightly coloured.,melon,fruit,10
Blueberry,is brightly coloured.,blueberry,fruit,10
Raspberry,is brightly coloured.,raspberry,fruit,10
Lemon,is brightly coloured.,lemon,fruit,10
Black raspberry,is brightly coloured.,black raspberry,fruit,10
Boysenberry,is brightly coloured.,boysenberry,fruit,10
Watermelon,is brightly coloured.,watermelon,fruit,10
Cantaloupe,is brightly coloured.,cantaloupe,fruit,10
Lime,is brightly coloured.,lime,fruit,10
Tangelo,is brightly coloured.,tangelo,fruit,10
Papaya,is brightly coloured.,papaya,fruit,10
Honeydew,is brightly coloured.,honeydew,fruit,10
Fig,is brightly coloured.,fig,fruit,10
Mango,is brightly coloured.,mango,fruit,10
Guava,is brightly coloured.,guava,fruit,10
Pomegranate,is brightly coloured.,pomegranate,fruit,10
Cranberry,is brightly coloured.,cranberry,fruit,10
Passion fruit,is brightly coloured.,passion fruit,fruit,10
Prune,is brightly coloured.,prune,fruit,10
Gooseberry,is brightly coloured.,gooseberry,fruit,10
Date,is brightly coloured.,date,fruit,10
Kumquat,is brightly coloured.,kumquat,fruit,10
Raisin,is brightly coloured.,raisin,fruit,10
Muskmelon,is brightly coloured.,muskmelon,fruit,10
Persimmon,is brightly coloured.,persimmon,fruit,10
Pawpaw,is brightly coloured.,pawpaw,fruit,10
Coconut,is brightly coloured.,coconut,fruit,10
Avocado,is brightly coloured.,avocado,fruit,10
Pumpkin,is brightly coloured.,pumpkin,fruit,10
Tomato,is brightly coloured.,tomato,fruit,10
Nut,is brightly coloured.,nut,fruit,10
Gourd,is brightly coloured.,gourd,fruit,10
Olive,is brightly coloured.,olive,fruit,10
Pickle,is brightly coloured.,pickle,fruit,10
Squash,is brightly coloured.,squash,fruit,10
Orange,is sweet.,orange,fruit,11
Apple,is sweet.,apple,fruit,11
Banana,is sweet.,banana,fruit,11
Peach,is sweet.,peach,fruit,11
Pear,is sweet.,pear,fruit,11
Apricot,is sweet.,apricot,fruit,11
Tangerine,is sweet.,tangerine,fruit,11
Plum,is sweet.,plum,fruit,11
Grape,is sweet.,grape,fruit,11
Nectarine,is sweet.,nectarine,fruit,11
Strawberry,is sweet.,strawberry,fruit,11
Grapefruit,is sweet.,grapefruit,fruit,11
Berry,is sweet.,berry,fruit,11
Cherry,is sweet.,cherry,fruit,11
Pineapple,is sweet.,pineapple,fruit,11
Blackberry,is sweet.,blackberry,fruit,11
Melon,is sweet.,melon,fruit,11
Blueberry,is sweet.,blueberry,fruit,11
Raspberry,is sweet.,raspberry,fruit,11
Lemon,is sweet.,lemon,fruit,11
Black raspberry,is sweet.,black raspberry,fruit,11
Boysenberry,is sweet.,boysenberry,fruit,11
Watermelon,is sweet.,watermelon,fruit,11
Cantaloupe,is sweet.,cantaloupe,fruit,11
Lime,is sweet.,lime,fruit,11
Tangelo,is sweet.,tangelo,fruit,11
Papaya,is sweet.,papaya,fruit,11
Honeydew,is sweet.,honeydew,fruit,11
Fig,is sweet.,fig,fruit,11
Mango,is sweet.,mango,fruit,11
Guava,is sweet.,guava,fruit,11
Pomegranate,is sweet.,pomegranate,fruit,11
Cranberry,is sweet.,cranberry,fruit,11
Passion fruit,is sweet.,passion fruit,fruit,11
Prune,is sweet.,prune,fruit,11
Gooseberry,is sweet.,gooseberry,fruit,11
Date,is sweet.,date,fruit,11
Kumquat,is sweet.,kumquat,fruit,11
Raisin,is sweet.,raisin,fruit,11
Muskmelon,is sweet.,muskmelon,fruit,11
Persimmon,is sweet.,persimmon,fruit,11
Pawpaw,is sweet.,pawpaw,fruit,11
Coconut,is sweet.,coconut,fruit,11
Avocado,is sweet.,avocado,fruit,11
Pumpkin,is sweet.,pumpkin,fruit,11
Tomato,is sweet.,tomato,fruit,11
Nut,is sweet.,nut,fruit,11
Gourd,is sweet.,gourd,fruit,11
Olive,is sweet.,olive,fruit,11
Pickle,is sweet.,pickle,fruit,11
Squash,is sweet.,squash,fruit,11
Orange,has an outer layer of skin or peel.,orange,fruit,12
Apple,has an outer layer of skin or peel.,apple,fruit,12
Banana,has an outer layer of skin or peel.,banana,fruit,12
Peach,has an outer layer of skin or peel.,peach,fruit,12
Pear,has an outer layer of skin or peel.,pear,fruit,12
Apricot,has an outer layer of skin or peel.,apricot,fruit,12
Tangerine,has an outer layer of skin or peel.,tangerine,fruit,12
Plum,has an outer layer of skin or peel.,plum,fruit,12
Grape,has an outer layer of skin or peel.,grape,fruit,12
Nectarine,has an outer layer of skin or peel.,nectarine,fruit,12
Strawberry,has an outer layer of skin or peel.,strawberry,fruit,12
Grapefruit,has an outer layer of skin or peel.,grapefruit,fruit,12
Berry,has an outer layer of skin or peel.,berry,fruit,12
Cherry,has an outer layer of skin or peel.,cherry,fruit,12
Pineapple,has an outer layer of skin or peel.,pineapple,fruit,12
Blackberry,has an outer layer of skin or peel.,blackberry,fruit,12
Melon,has an outer layer of skin or peel.,melon,fruit,12
Blueberry,has an outer layer of skin or peel.,blueberry,fruit,12
Raspberry,has an outer layer of skin or peel.,raspberry,fruit,12
Lemon,has an outer layer of skin or peel.,lemon,fruit,12
Black raspberry,has an outer layer of skin or peel.,black raspberry,fruit,12
Boysenberry,has an outer layer of skin or peel.,boysenberry,fruit,12
Watermelon,has an outer layer of skin or peel.,watermelon,fruit,12
Cantaloupe,has an outer layer of skin or peel.,cantaloupe,fruit,12
Lime,has an outer layer of skin or peel.,lime,fruit,12
Tangelo,has an outer layer of skin or peel.,tangelo,fruit,12
Papaya,has an outer layer of skin or peel.,papaya,fruit,12
Honeydew,has an outer layer of skin or peel.,honeydew,fruit,12
Fig,has an outer layer of skin or peel.,fig,fruit,12
Mango,has an outer layer of skin or peel.,mango,fruit,12
Guava,has an outer layer of skin or peel.,guava,fruit,12
Pomegranate,has an outer layer of skin or peel.,pomegranate,fruit,12
Cranberry,has an outer layer of skin or peel.,cranberry,fruit,12
Passion fruit,has an outer layer of skin or peel.,passion fruit,fruit,12
Prune,has an outer layer of skin or peel.,prune,fruit,12
Gooseberry,has an outer layer of skin or peel.,gooseberry,fruit,12
Date,has an outer layer of skin or peel.,date,fruit,12
Kumquat,has an outer layer of skin or peel.,kumquat,fruit,12
Raisin,has an outer layer of skin or peel.,raisin,fruit,12
Muskmelon,has an outer layer of skin or peel.,muskmelon,fruit,12
